round,timestamp,client_id,local_accuracy,local_loss,samples_used,training_time_sec,pipeline_total_sec,ndd_fe_encrypt_sec,signature_sec,upload_bytes,download_bytes,communication_time_sec,gradient_norm_l2,cosine_similarity_to_global,gradient_variance,gradient_divergence,update_magnitude,update_distance_from_global,parameter_drift,compression_ratio,sparsity_percent,contribution_score,participation_frequency,reward_received_eth,suspicion_score,trust_score,is_malicious,detected_malicious,filtered
1,2026-07-06T12:51:11.773,0x88525bde5e667ab53c499702b72c9bda119ec85b,0.9741131067276001,0.07699993252754211,1043,1292.2902798999567,2556.64072200004,397.673216199968,2.5162504999898374,191441865,,59.571619200054556,2.2189109325408936,,,,,,,0.04999997479044362,95.00000252095563,2.2189109325408936,,5.523855276270184,,,,,
1,2026-07-05T21:35:17.494,0xaeb1b0ab57ebc91ff0fcc1cd35ff314653ebe529,0.9961685538291931,0.02688641846179962,1044,2609.4670123000396,4396.544723599916,1137.1336740000406,6.040959000121802,574376000,,48.85546560003422,2.9073050022125244,,,,,,,0.14999996315526376,85.00000368447363,2.9073050022125244,,4.582329983761658,,,,,
1,2026-07-06T14:37:14.292,0xbe884ed9ea8bddba04a7806b94b14ceac852bd09,0.9386385679244995,0.14524686336517334,1043,1217.9958468999248,2450.271291800076,376.6691406997852,1.7497006000485271,191390125,,48.70709290006198,2.2783820629119873,,,,,,,0.04999997479044362,95.00000252095563,2.2783820629119873,,3.6183028748615373,,,,,
1,2026-07-06T13:43:37.405,0xbf22041166bc98d1c890ff1c98a394486ba99ef0,0.9568552374839783,0.10585566610097885,1043,1231.0804506000131,2599.247256099945,425.1431102999486,2.3862017998471856,191404478,,44.44545469991863,2.1908373832702637,,,,,,,0.04999997479044362,95.00000252095563,2.1908373832702637,,3.4792724905011654,,,,,
1,2026-07-06T15:20:04.949,0xee0d4d6e16ec87b586ec7e4ea19da8ae7543eb99,0.9597315192222595,0.10742813348770142,1043,643.5219773999415,1831.6753104000818,228.61262430017814,0.8518480001948774,114820165,,21.364627600181848,1.760743260383606,,,,,,,0.02999999263105275,97.00000073689472,1.760743260383606,,2.796239374605456,,,,,
1,2026-07-06T15:34:08.799,unknown,0.52,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2026-07-06T17:55:10.644,unknown,0.52,,100,,,,,,,,,,,,,,,,,,,,,,,,
