round,timestamp,status,client_count,accuracy,precision,recall,f1_score,roc_auc,pr_auc,specificity,sensitivity,tp,tn,fp,fn,training_loss,validation_loss,test_loss,convergence_reached,aggregation_time_sec,training_time_sec,communication_time_sec,bytes_uploaded,bytes_downloaded,total_mb_transmitted,compression_ratio,gradient_norm_mean,gradient_norm_std,gradient_norm_min,gradient_norm_max,cosine_similarity_mean,cosine_similarity_std,cosine_similarity_min,cosine_similarity_max,gradient_variance_mean,gradient_divergence_mean,update_magnitude,update_distance_from_global,parameter_drift
1,2026-07-06T14:44:19+00:00,REWARDED,6,0.52,,,,,,,,,,,,,,,False,7638.365007499931,2609.4670123000396,768.9398781002965,1263432633,,1204.9032526016235,0.06909088624364682,2.327070106159557,0.4113151603753791,1.760743260383606,2.9073050022125244,,,,,,,,,
2,2026-07-06T17:55:10.644,,1,0.52,1.0,0.04,0.07692307692307693,,,1.0,0.04,2,50,0,48,,,,False,32.42871930007823,,,,,,,,,,,,,,,,,,,
