timestamp,cpu_avg_percent,cpu_peak_percent,ram_used_mb,ram_percent,disk_used_mb,disk_growth_mb,gpu_utilization_percent,gpu_memory_used_mb,gpu_temperature_c
2026-07-06T14:46:06+00:00,49.3,49.3,6862.15234375,85.5,456268.12890625,23.3984375,,,
2026-07-06T14:46:08+00:00,34.1,34.1,6868.3671875,85.6,456268.12890625,23.3984375,,,
2026-07-06T14:46:10+00:00,43.5,43.5,6887.37890625,85.8,456270.0,25.26953125,,,
2026-07-06T14:46:12+00:00,81.6,81.6,6969.14453125,86.8,456271.56640625,26.8359375,,,
2026-07-06T14:46:14+00:00,53.8,53.8,6989.5625,87.1,456271.88671875,27.15625,,,
2026-07-06T14:46:16+00:00,68.4,68.4,7155.7421875,89.2,456271.89453125,27.1640625,,,
2026-07-06T14:46:18+00:00,46.1,46.1,7148.77734375,89.1,456271.89453125,27.1640625,,,
2026-07-06T14:46:20+00:00,43.1,43.1,7124.5859375,88.8,456271.86328125,27.1328125,,,
2026-07-06T14:46:22+00:00,40.7,40.7,7129.1171875,88.8,456271.87109375,27.140625,,,
2026-07-06T14:46:24+00:00,43.4,43.4,7076.06640625,88.2,456271.87109375,27.140625,,,
2026-07-06T14:46:26+00:00,57.6,57.6,7032.6953125,87.6,456271.8828125,27.15234375,,,
2026-07-06T14:46:28+00:00,39.3,39.3,6965.03515625,86.8,456271.8828125,27.15234375,,,
2026-07-06T14:46:30+00:00,49.6,49.6,6979.88671875,87.0,456271.890625,27.16015625,,,
2026-07-06T14:46:32+00:00,39.2,39.2,6950.3671875,86.6,456271.890625,27.16015625,,,
2026-07-06T14:46:35+00:00,31.9,31.9,6948.41796875,86.6,456271.890625,27.16015625,,,
2026-07-06T14:46:37+00:00,49.0,49.0,6940.44921875,86.5,456271.8984375,27.16796875,,,
2026-07-06T14:46:39+00:00,38.3,38.3,6914.015625,86.1,456271.8984375,27.16796875,,,
2026-07-06T14:46:41+00:00,45.5,45.5,6940.82421875,86.5,456272.07421875,27.34375,,,
2026-07-06T14:46:43+00:00,41.3,41.3,6921.09375,86.2,456272.0859375,27.35546875,,,
2026-07-06T14:46:45+00:00,42.5,42.5,6913.19921875,86.1,456272.203125,27.47265625,,,
2026-07-06T14:46:47+00:00,47.0,47.0,6917.40234375,86.2,456272.3984375,27.66796875,,,
2026-07-06T14:46:49+00:00,37.8,37.8,6922.6875,86.3,456272.44140625,27.7109375,,,
2026-07-06T14:46:51+00:00,45.5,45.5,6963.703125,86.8,456272.50390625,27.7734375,,,
2026-07-06T14:46:53+00:00,57.5,57.5,7000.1328125,87.2,456272.76171875,28.03125,,,
2026-07-06T14:46:55+00:00,43.0,43.0,6999.2265625,87.2,456272.83984375,28.109375,,,
2026-07-06T14:46:57+00:00,68.0,68.0,7008.35546875,87.3,456272.98828125,28.2578125,,,
2026-07-06T14:46:59+00:00,35.2,35.2,7005.8359375,87.3,456273.06640625,28.3359375,,,
2026-07-06T14:47:01+00:00,49.2,49.2,7016.3515625,87.4,456273.08984375,28.359375,,,
2026-07-06T14:47:03+00:00,40.7,40.7,7003.453125,87.3,456273.26171875,28.53125,,,
2026-07-06T14:47:05+00:00,33.4,33.4,7015.05859375,87.4,456273.31640625,28.5859375,,,
2026-07-06T14:47:07+00:00,46.2,46.2,7009.96484375,87.3,456273.484375,28.75390625,,,
2026-07-06T14:47:09+00:00,39.0,39.0,7016.4609375,87.4,456273.58203125,28.8515625,,,
2026-07-06T14:47:11+00:00,48.7,48.7,7033.33203125,87.6,456273.62109375,28.890625,,,
2026-07-06T14:47:13+00:00,67.0,67.0,7008.83203125,87.3,456273.80859375,29.078125,,,
2026-07-06T14:47:15+00:00,40.2,40.2,7010.9296875,87.4,456273.79296875,29.0625,,,
2026-07-06T14:47:17+00:00,48.0,48.0,7023.10546875,87.5,456273.8359375,29.10546875,,,
2026-07-06T14:47:19+00:00,52.0,52.0,7039.921875,87.7,456274.0078125,29.27734375,,,
2026-07-06T14:47:21+00:00,52.6,52.6,6999.26171875,87.2,456274.09375,29.36328125,,,
2026-07-06T14:47:23+00:00,46.5,46.5,6994.46484375,87.1,456274.25,29.51953125,,,
2026-07-06T14:47:25+00:00,44.4,44.4,6997.89453125,87.2,456274.3359375,29.60546875,,,
2026-07-06T14:47:27+00:00,37.1,37.1,6976.37109375,86.9,456274.375,29.64453125,,,
